Time,PmuID,PmuCoordinates,DataSize,GNB_Target,Path,HopSum,Status
0.0000,3,"(700.5,1633.2)",2.00,GNB_5,"PMU -> GNB_5 (0.0001s, 240.8m) -> TELCO (0.0413s, 707.1m) -> TSO (0.0697s, 1415.6m)",0.1111,OK
0.0000,26,"(1700.7,1023.0)",2.00,GNB_4,"PMU -> GNB_4 (0.0003s, 202.0m) -> TELCO (0.0369s, 500.0m) -> TSO (0.0741s, 1415.6m)",0.1114,OK
0.0000,9,"(700.2,311.5)",2.00,GNB_1,"PMU -> GNB_1 (0.0017s, 275.0m) -> TELCO (0.0373s, 707.1m) -> TSO (0.0752s, 1415.6m)",0.1141,OK
0.0000,11,"(33.6,1775.4)",2.00,GNB_5,"PMU -> GNB_5 (0.0000s, 541.6m) -> TELCO (0.0371s, 707.1m) -> TSO (0.0782s, 1415.6m)",0.1153,OK
0.0000,7,"(1700.3,1504.6)",2.00,GNB_6,"PMU -> GNB_6 (0.0051s, 200.4m) -> TELCO (0.0395s, 707.1m) -> TSO (0.0718s, 1415.6m)",0.1163,OK
0.0000,14,"(1366.9,1579.3)",2.00,GNB_6,"PMU -> GNB_6 (0.0000s, 155.0m) -> TELCO (0.0441s, 707.1m) -> TSO (0.0737s, 1415.6m)",0.1177,OK
0.0000,24,"(1034.1,1158.6)",2.00,GNB_4,"PMU -> GNB_4 (0.0119s, 492.2m) -> TELCO (0.0343s, 500.0m) -> TSO (0.0724s, 1415.6m)",0.1186,OK
0.0000,8,"(33.6,1043.7)",2.00,GNB_3,"PMU -> GNB_3 (0.0111s, 468.4m) -> TELCO (0.0397s, 500.0m) -> TSO (0.0681s, 1415.6m)",0.1189,OK
0.0000,10,"(367.0,1707.8)",2.00,GNB_5,"PMU -> GNB_5 (0.0127s, 246.7m) -> TELCO (0.0357s, 707.1m) -> TSO (0.0710s, 1415.6m)",0.1194,OK
0.0000,19,"(1367.7,548.2)",2.00,GNB_2,"PMU -> GNB_2 (0.0000s, 140.8m) -> TELCO (0.0379s, 707.1m) -> TSO (0.0817s, 1415.6m)",0.1197,OK
0.0000,28,"(33.9,1429.9)",2.00,GNB_5,"PMU -> GNB_5 (0.0060s, 471.3m) -> TELCO (0.0391s, 707.1m) -> TSO (0.0753s, 1415.6m)",0.1204,OK
