Time,TaskID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
43.0077,56887,Window_43.000,9/30,TIMEOUT,18.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1251,S,0.0150,1
44.0077,57968,Window_44.000,3/30,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1163,S,0.0150,1
45.0077,59069,Window_45.000,7/30,TIMEOUT,14.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1249,S,0.0150,1
46.0077,60162,Window_46.000,10/30,TIMEOUT,20.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1245,S,0.0150,1
47.0077,61247,Window_47.000,11/30,TIMEOUT,22.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1246,S,0.0150,1
48.0077,62322,Window_48.000,11/30,TIMEOUT,22.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1258,S,0.0150,1
49.0077,63437,Window_49.000,9/30,TIMEOUT,18.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1255,S,0.0150,1
50.0077,64503,Window_50.000,3/30,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1164,S,0.0150,1
51.0077,65604,Window_51.000,10/30,TIMEOUT,20.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1257,S,0.0150,1
52.0077,66696,Window_52.000,6/30,TIMEOUT,12.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1249,S,0.0150,1
53.0077,67786,Window_53.000,15/30,TIMEOUT,30.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1308,S,0.0150,1
54.0077,68871,Window_54.000,9/30,TIMEOUT,18.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1228,S,0.0150,1
55.0077,69957,Window_55.000,12/30,TIMEOUT,24.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1283,S,0.0150,1
56.0077,71057,Window_56.000,16/30,TIMEOUT,32.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1250,S,0.0150,1
57.0077,72155,Window_57.000,21/30,TIMEOUT,42.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1318,S,0.0150,1
58.0077,73250,Window_58.000,4/30,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1205,S,0.0150,1
59.0077,74320,Window_59.000,9/30,TIMEOUT,18.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1243,S,0.0150,1
60.0077,75422,Window_60.000,14/30,TIMEOUT,28.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1252,S,0.0150,1
61.0077,76502,Window_61.000,23/30,TIMEOUT,46.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1371,S,0.0150,1
