Time,TaskID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
43.0077,56875,Window_43.000,4/30,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1399,S,0.0150,1
44.0077,57969,Window_44.000,10/30,TIMEOUT,20.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1475,S,0.0150,1
45.0077,59058,Window_45.000,10/30,TIMEOUT,20.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1479,S,0.0150,1
46.0077,60154,Window_46.000,7/30,TIMEOUT,14.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1439,S,0.0150,1
47.0077,61245,Window_47.000,4/30,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1371,S,0.0150,1
48.0077,62333,Window_48.000,13/30,TIMEOUT,26.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1488,S,0.0150,1
49.0077,63414,Window_49.000,3/30,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1373,S,0.0150,1
50.0077,64514,Window_50.000,18/30,TIMEOUT,36.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1558,S,0.0150,1
51.0077,65620,Window_51.000,13/30,TIMEOUT,26.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1490,S,0.0150,1
52.0077,66708,Window_52.000,6/30,TIMEOUT,12.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1423,S,0.0150,1
53.0077,67781,Window_53.000,4/30,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1391,S,0.0150,1
54.0077,68878,Window_54.000,5/30,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1441,S,0.0150,1
55.0077,69971,Window_55.000,18/30,TIMEOUT,36.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1502,S,0.0150,1
56.0077,71058,Window_56.000,5/30,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1405,S,0.0150,1
57.0077,72156,Window_57.000,4/30,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1396,S,0.0150,1
58.0077,73231,Window_58.000,8/30,TIMEOUT,16.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1446,S,0.0150,1
59.0077,74324,Window_59.000,13/30,TIMEOUT,26.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1500,S,0.0150,1
