Time,TaskID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
44.1010,57975,Window_44.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0397,1
45.1010,59061,Window_45.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0427,1
46.1010,60158,Window_46.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
47.1010,61256,Window_47.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
48.1010,62338,Window_48.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0329,1
49.1010,63421,Window_49.000,28/30,TIMEOUT,56.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
50.1010,64502,Window_50.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0328,1
51.1010,65601,Window_51.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
52.1010,66688,Window_52.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
53.1010,67788,Window_53.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0419,1
54.1010,68869,Window_54.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
55.1010,69977,Window_55.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
56.1010,71058,Window_56.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
57.1010,72137,Window_57.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0408,1
58.1010,73231,Window_58.000,25/30,TIMEOUT,50.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
59.1010,74321,Window_59.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
60.1010,75411,Window_60.000,27/30,TIMEOUT,54.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
61.1010,76501,Window_61.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
62.1010,77591,Window_62.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0416,1
63.1010,78674,Window_63.000,28/30,TIMEOUT,56.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
64.1010,79775,Window_64.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0422,1
65.1010,80858,Window_65.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
66.1010,81951,Window_66.000,27/30,TIMEOUT,54.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
67.1010,83038,Window_67.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0420,1
68.1010,84136,Window_68.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0380,1
69.1010,85226,Window_69.000,28/30,TIMEOUT,56.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
70.1010,86318,Window_70.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0345,1
71.1010,87407,Window_71.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
72.1010,88505,Window_72.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
73.1010,89588,Window_73.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0435,1
74.1010,90687,Window_74.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0423,1
75.1010,91777,Window_75.000,27/30,TIMEOUT,54.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
76.1010,92849,Window_76.000,28/30,TIMEOUT,56.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
77.1010,93934,Window_77.000,28/30,TIMEOUT,56.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
78.1010,95033,Window_78.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0419,1
79.1010,96138,Window_79.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
80.1010,97220,Window_80.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
81.1010,98306,Window_81.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0359,1
82.1010,99394,Window_82.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0397,1
