Time,TaskID,GNBID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
0.0280,10026,2,Window_0.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0590,S,0.0155,1
0.0280,10005,5,Window_0.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0556,S,0.0155,1
0.0280,10004,4,Window_0.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0525,S,0.0155,1
0.0280,10023,1,Window_0.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0517,S,0.0155,1
0.0280,10017,6,Window_0.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0548,S,0.0140,1
0.0280,10018,3,Window_0.000,2/3,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0561,S,0.0155,1
1.0280,11119,2,Window_1.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0518,S,0.0155,1
1.0280,11092,5,Window_1.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0499,S,0.0144,1
1.0280,11098,4,Window_1.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0519,S,0.0145,1
1.0280,11109,1,Window_1.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0524,S,0.0077,1
1.0280,11107,6,Window_1.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0562,S,0.0146,1
1.0280,11114,3,Window_1.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0411,S,0.0059,1
2.0280,12195,2,Window_2.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0549,S,0.0155,1
2.0280,12185,5,Window_2.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0480,S,0.0155,1
2.0280,12191,4,Window_2.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0532,S,0.0146,1
2.0280,12203,1,Window_2.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0519,S,0.0155,1
2.0280,12202,6,Window_2.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0569,S,0.0121,1
2.0280,12198,3,Window_2.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0535,S,0.0103,1
3.0280,13290,2,Window_3.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0492,S,0.0147,1
3.0280,13300,5,Window_3.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0502,S,0.0155,1
3.0280,13282,4,Window_3.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0603,S,0.0155,1
3.0280,13279,1,Window_3.000,1/6,TIMEOUT,2.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0500,S,0.0155,1
3.0280,13287,6,Window_3.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0535,S,0.0155,1
3.0280,13286,3,Window_3.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0458,S,0.0069,1
4.0280,14386,2,Window_4.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0496,S,0.0155,1
4.0280,14363,5,Window_4.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0506,S,0.0155,1
4.0280,14371,4,Window_4.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0450,S,0.0048,1
4.0280,14369,1,Window_4.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0534,S,0.0155,1
4.0280,14382,6,Window_4.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0575,S,0.0155,1
4.0280,14378,3,Window_4.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0469,S,0.0046,1
5.0280,15479,2,Window_5.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0543,S,0.0155,1
5.0280,15475,5,Window_5.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0528,S,0.0110,1
5.0280,15454,4,Window_5.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0508,S,0.0105,1
5.0280,15473,1,Window_5.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0554,S,0.0132,1
5.0280,15467,6,Window_5.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0444,S,0.0081,1
5.0280,15468,3,Window_5.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0400,S,0.0039,1
6.0280,16555,2,Window_6.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0544,S,0.0155,1
6.0280,16545,5,Window_6.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0533,S,0.0155,1
6.0280,16552,4,Window_6.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0483,S,0.0155,1
6.0280,16554,1,Window_6.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0539,S,0.0155,1
6.0280,16567,6,Window_6.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0537,S,0.0106,1
6.0280,16558,3,Window_6.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0419,S,0.0084,1
7.0280,17659,2,Window_7.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0531,S,0.0155,1
7.0280,17633,5,Window_7.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0538,S,0.0155,1
7.0280,17638,4,Window_7.000,1/4,TIMEOUT,2.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0478,S,0.0155,1
7.0280,17639,1,Window_7.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0557,S,0.0155,1
7.0280,17657,6,Window_7.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0563,S,0.0155,1
7.0280,17648,3,Window_7.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0466,S,0.0091,1
8.0280,18749,2,Window_8.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0566,S,0.0155,1
8.0280,18745,5,Window_8.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0521,S,0.0128,1
8.0280,18732,4,Window_8.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0535,S,0.0155,1
8.0280,18727,1,Window_8.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0573,S,0.0155,1
8.0280,18737,6,Window_8.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0567,S,0.0151,1
8.0280,18736,3,Window_8.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0439,S,0.0064,1
9.0280,19838,2,Window_9.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0541,S,0.0155,1
9.0280,19840,5,Window_9.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0519,S,0.0155,1
9.0280,19821,4,Window_9.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0502,S,0.0155,1
9.0280,19819,1,Window_9.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0533,S,0.0155,1
9.0280,19832,6,Window_9.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0499,S,0.0101,1
9.0280,19826,3,Window_9.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0454,S,0.0108,1
