Time,PmuID,PmuCoordinates,DataSize,Path,HopSum,Status
0.0000,26,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0033s, 110.1m) -> TELCO (0.0143s, 707.1m) -> GNB_2 (0.0134s, 707.1m)",0.0310,S
0.0000,20,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0104s, 543.5m) -> TELCO (0.0148s, 707.1m) -> GNB_2 (0.0126s, 707.1m)",0.0379,S
0.0000,29,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0103s, 285.1m) -> TELCO (0.0144s, 707.1m) -> GNB_2 (0.0139s, 707.1m)",0.0387,S
0.0000,15,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0093s, 147.2m) -> TELCO (0.0164s, 707.1m) -> GNB_2 (0.0141s, 707.1m)",0.0397,S
0.0000,28,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0129s, 333.8m) -> TELCO (0.0134s, 707.1m) -> GNB_2 (0.0136s, 707.1m)",0.0399,S
0.0000,1,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0246s, 409.6m) -> TELCO (0.0122s, 707.1m) -> GNB_2 (0.0108s, 707.1m)",0.0477,L
0.0000,5,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0000s, 265.2m) -> TELCO (0.0133s, 707.1m) -> GNB_5 (0.0143s, 707.1m)",0.0276,S
0.0000,0,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0025s, 77.4m) -> TELCO (0.0133s, 707.1m) -> GNB_5 (0.0131s, 707.1m)",0.0288,S
0.0000,25,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0044s, 414.1m) -> TELCO (0.0128s, 707.1m) -> GNB_5 (0.0135s, 707.1m)",0.0307,S
0.0000,2,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0000s, 274.6m) -> TELCO (0.0178s, 707.1m) -> GNB_5 (0.0153s, 707.1m)",0.0331,S
0.0000,6,"(910.2,1635.2)",2.00,"PMU -> GNB_5 (0.0084s, 431.9m) -> TELCO (0.0151s, 707.1m) -> GNB_5 (0.0154s, 707.1m)",0.0389,S
0.0000,3,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0271s, 526.3m) -> TELCO (0.0132s, 707.1m) -> GNB_5 (0.0143s, 707.1m)",0.0546,L
0.0000,4,"(1243.7,1228.4)",2.00,"PMU -> GNB_4 (0.0040s, 343.3m) -> TELCO (0.0119s, 500.0m) -> GNB_4 (0.0087s, 500.0m)",0.0245,S
0.0000,8,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0048s, 275.1m) -> TELCO (0.0123s, 500.0m) -> GNB_4 (0.0123s, 500.0m)",0.0293,S
0.0000,12,"(1909.4,970.9)",2.00,"PMU -> GNB_4 (0.0103s, 410.4m) -> TELCO (0.0101s, 500.0m) -> GNB_4 (0.0117s, 500.0m)",0.0321,S
0.0000,11,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0145s, 123.6m) -> TELCO (0.0160s, 500.0m) -> GNB_4 (0.0111s, 500.0m)",0.0417,L
0.0000,23,"(910.7,346.8)",2.00,"PMU -> GNB_1 (0.0000s, 438.4m) -> TELCO (0.0119s, 707.1m) -> GNB_1 (0.0118s, 707.1m)",0.0237,S
0.0000,7,"(243.6,231.9)",2.00,"PMU -> GNB_1 (0.0000s, 371.0m) -> TELCO (0.0127s, 707.1m) -> GNB_1 (0.0146s, 707.1m)",0.0273,S
0.0000,9,"(243.4,638.8)",2.00,"PMU -> GNB_1 (0.0045s, 291.7m) -> TELCO (0.0098s, 707.1m) -> GNB_1 (0.0153s, 707.1m)",0.0296,S
0.0000,19,"(577.5,75.5)",2.00,"PMU -> GNB_1 (0.0078s, 431.5m) -> TELCO (0.0132s, 707.1m) -> GNB_1 (0.0143s, 707.1m)",0.0353,S
0.0000,14,"(576.6,577.8)",2.00,"PMU -> GNB_1 (0.0138s, 109.2m) -> TELCO (0.0128s, 707.1m) -> GNB_1 (0.0112s, 707.1m)",0.0379,S
0.0000,10,"(910.1,706.6)",2.00,"PMU -> GNB_1 (0.0186s, 459.1m) -> TELCO (0.0149s, 707.1m) -> GNB_1 (0.0139s, 707.1m)",0.0474,L
0.0000,17,"(1910.1,1411.1)",2.00,"PMU -> GNB_6 (0.0034s, 419.6m) -> TELCO (0.0099s, 707.1m) -> GNB_6 (0.0150s, 707.1m)",0.0283,S
0.0000,22,"(1909.9,1749.8)",2.00,"PMU -> GNB_6 (0.0063s, 480.1m) -> TELCO (0.0131s, 707.1m) -> GNB_6 (0.0153s, 707.1m)",0.0347,S
0.0000,27,"(1577.3,1418.0)",2.00,"PMU -> GNB_6 (0.0140s, 112.7m) -> TELCO (0.0158s, 707.1m) -> GNB_6 (0.0108s, 707.1m)",0.0406,S
0.0000,13,"(1576.6,1709.8)",2.00,"PMU -> GNB_6 (0.0179s, 223.3m) -> TELCO (0.0127s, 707.1m) -> GNB_6 (0.0116s, 707.1m)",0.0422,S
0.0000,21,"(1244.0,1682.2)",2.00,"PMU -> GNB_6 (0.0178s, 314.2m) -> TELCO (0.0131s, 707.1m) -> GNB_6 (0.0114s, 707.1m)",0.0423,S
0.0000,18,"(577.4,1078.9)",2.00,"PMU -> GNB_3 (0.0000s, 110.6m) -> TELCO (0.0150s, 500.0m) -> GNB_3 (0.0130s, 500.0m)",0.0281,S
0.0000,16,"(243.3,842.2)",2.00,"PMU -> GNB_3 (0.0078s, 301.3m) -> TELCO (0.0177s, 500.0m) -> GNB_3 (0.0132s, 500.0m)",0.0387,S
0.0000,24,"(910.7,814.6)",2.00,"PMU -> GNB_3 (0.0257s, 450.6m) -> TELCO (0.0105s, 500.0m) -> GNB_3 (0.0125s, 500.0m)",0.0487,L
1.0000,29,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0000s, 285.1m) -> TELCO (0.0130s, 707.1m) -> GNB_2 (0.0108s, 707.1m)",0.0238,S
1.0000,15,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0000s, 147.2m) -> TELCO (0.0114s, 707.1m) -> GNB_2 (0.0132s, 707.1m)",0.0246,S
1.0000,26,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0000s, 110.1m) -> TELCO (0.0146s, 707.1m) -> GNB_2 (0.0132s, 707.1m)",0.0278,S
1.0000,28,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0040s, 333.8m) -> TELCO (0.0130s, 707.1m) -> GNB_2 (0.0118s, 707.1m)",0.0288,S
1.0000,1,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0077s, 409.6m) -> TELCO (0.0149s, 707.1m) -> GNB_2 (0.0121s, 707.1m)",0.0346,S
1.0000,20,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0133s, 543.5m) -> TELCO (0.0130s, 707.1m) -> GNB_2 (0.0130s, 707.1m)",0.0393,S
1.0000,2,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0000s, 274.6m) -> TELCO (0.0148s, 707.1m) -> GNB_5 (0.0082s, 707.1m)",0.0229,S
1.0000,25,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0000s, 414.1m) -> TELCO (0.0137s, 707.1m) -> GNB_5 (0.0124s, 707.1m)",0.0261,S
1.0000,3,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0030s, 526.3m) -> TELCO (0.0104s, 707.1m) -> GNB_5 (0.0133s, 707.1m)",0.0266,S
1.0000,6,"(910.2,1635.2)",2.00,"PMU -> GNB_5 (0.0045s, 431.9m) -> TELCO (0.0144s, 707.1m) -> GNB_5 (0.0140s, 707.1m)",0.0329,S
1.0000,5,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0085s, 265.2m) -> TELCO (0.0124s, 707.1m) -> GNB_5 (0.0126s, 707.1m)",0.0334,S
1.0000,0,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0092s, 77.4m) -> TELCO (0.0158s, 707.1m) -> GNB_5 (0.0124s, 707.1m)",0.0374,S
1.0000,8,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0000s, 275.1m) -> TELCO (0.0141s, 500.0m) -> GNB_4 (0.0108s, 500.0m)",0.0249,S
1.0000,4,"(1243.7,1228.4)",2.00,"PMU -> GNB_4 (0.0074s, 343.3m) -> TELCO (0.0086s, 500.0m) -> GNB_4 (0.0120s, 500.0m)",0.0281,S
1.0000,11,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0044s, 123.6m) -> TELCO (0.0148s, 500.0m) -> GNB_4 (0.0105s, 500.0m)",0.0296,S
1.0000,12,"(1909.4,970.9)",2.00,"PMU -> GNB_4 (0.0134s, 410.4m) -> TELCO (0.0135s, 500.0m) -> GNB_4 (0.0126s, 500.0m)",0.0394,S
1.0000,19,"(577.5,75.5)",2.00,"PMU -> GNB_1 (0.0092s, 431.5m) -> TELCO (0.0103s, 707.1m) -> GNB_1 (0.0127s, 707.1m)",0.0322,S
1.0000,23,"(910.7,346.8)",2.00,"PMU -> GNB_1 (0.0043s, 438.4m) -> TELCO (0.0136s, 707.1m) -> GNB_1 (0.0152s, 707.1m)",0.0331,S
1.0000,7,"(243.6,231.9)",2.00,"PMU -> GNB_1 (0.0036s, 371.0m) -> TELCO (0.0128s, 707.1m) -> GNB_1 (0.0170s, 707.1m)",0.0334,S
1.0000,14,"(576.6,577.8)",2.00,"PMU -> GNB_1 (0.0047s, 109.2m) -> TELCO (0.0148s, 707.1m) -> GNB_1 (0.0157s, 707.1m)",0.0352,S
1.0000,10,"(910.1,706.6)",2.00,"PMU -> GNB_1 (0.0118s, 459.1m) -> TELCO (0.0106s, 707.1m) -> GNB_1 (0.0136s, 707.1m)",0.0360,S
1.0000,9,"(243.4,638.8)",2.00,"PMU -> GNB_1 (0.0093s, 291.7m) -> TELCO (0.0145s, 707.1m) -> GNB_1 (0.0161s, 707.1m)",0.0399,S
1.0000,17,"(1910.1,1411.1)",2.00,"PMU -> GNB_6 (0.0000s, 419.6m) -> TELCO (0.0156s, 707.1m) -> GNB_6 (0.0136s, 707.1m)",0.0292,S
1.0000,13,"(1576.6,1709.8)",2.00,"PMU -> GNB_6 (0.0034s, 223.3m) -> TELCO (0.0166s, 707.1m) -> GNB_6 (0.0139s, 707.1m)",0.0339,S
1.0000,22,"(1909.9,1749.8)",2.00,"PMU -> GNB_6 (0.0086s, 480.1m) -> TELCO (0.0109s, 707.1m) -> GNB_6 (0.0148s, 707.1m)",0.0343,S
1.0000,27,"(1577.3,1418.0)",2.00,"PMU -> GNB_6 (0.0131s, 112.7m) -> TELCO (0.0139s, 707.1m) -> GNB_6 (0.0096s, 707.1m)",0.0366,S
1.0000,21,"(1244.0,1682.2)",2.00,"PMU -> GNB_6 (0.0129s, 314.2m) -> TELCO (0.0170s, 707.1m) -> GNB_6 (0.0138s, 707.1m)",0.0437,S
1.0000,24,"(910.7,814.6)",2.00,"PMU -> GNB_3 (0.0008s, 450.6m) -> TELCO (0.0101s, 500.0m) -> GNB_3 (0.0119s, 500.0m)",0.0227,S
1.0000,18,"(577.4,1078.9)",2.00,"PMU -> GNB_3 (0.0000s, 110.6m) -> TELCO (0.0119s, 500.0m) -> GNB_3 (0.0131s, 500.0m)",0.0250,S
1.0000,16,"(243.3,842.2)",2.00,"PMU -> GNB_3 (0.0007s, 301.3m) -> TELCO (0.0127s, 500.0m) -> GNB_3 (0.0152s, 500.0m)",0.0286,S
2.0000,15,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0003s, 147.2m) -> TELCO (0.0156s, 707.1m) -> GNB_2 (0.0110s, 707.1m)",0.0269,S
2.0000,26,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0000s, 110.1m) -> TELCO (0.0148s, 707.1m) -> GNB_2 (0.0127s, 707.1m)",0.0275,S
