Time,PmuID,PmuCoordinates,DataSize,Path,HopSum,Status
0.0000,14,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0056s, 147.2m)",0.0056,OK
0.0000,25,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0084s, 110.1m)",0.0084,OK
0.0000,0,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0100s, 409.6m)",0.0100,OK
0.0000,27,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0159s, 333.8m)",0.0159,OK
0.0000,28,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0172s, 285.1m)",0.0172,OK
0.0000,19,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0175s, 543.5m)",0.0175,OK
0.0000,29,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0000s, 77.4m)",0.0000,OK
0.0000,4,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0022s, 265.2m)",0.0022,OK
0.0000,1,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0081s, 274.6m)",0.0081,OK
0.0000,5,"(910.2,1635.2)",2.00,"PMU -> GNB_5 (0.0113s, 431.9m)",0.0113,OK
0.0000,24,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0133s, 414.1m)",0.0133,OK
0.0000,2,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0226s, 526.3m)",0.0226,OK
0.0000,7,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0040s, 275.1m)",0.0040,OK
0.0000,10,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0072s, 123.6m)",0.0072,OK
0.0000,11,"(1909.4,970.9)",2.00,"PMU -> GNB_4 (0.0147s, 410.4m)",0.0147,OK
0.0000,3,"(1243.7,1228.4)",2.00,"PMU -> GNB_4 (0.0185s, 343.3m)",0.0185,OK
0.0000,6,"(243.6,231.9)",2.00,"PMU -> GNB_1 (0.0071s, 371.0m)",0.0071,OK
0.0000,13,"(576.6,577.8)",2.00,"PMU -> GNB_1 (0.0075s, 109.2m)",0.0075,OK
0.0000,8,"(243.4,638.8)",2.00,"PMU -> GNB_1 (0.0098s, 291.7m)",0.0098,OK
0.0000,22,"(910.7,346.8)",2.00,"PMU -> GNB_1 (0.0107s, 438.4m)",0.0107,OK
0.0000,9,"(910.1,706.6)",2.00,"PMU -> GNB_1 (0.0115s, 459.1m)",0.0115,OK
0.0000,18,"(577.5,75.5)",2.00,"PMU -> GNB_1 (0.0216s, 431.5m)",0.0216,OK
0.0000,26,"(1577.3,1418.0)",2.00,"PMU -> GNB_6 (0.0050s, 112.7m)",0.0050,OK
0.0000,12,"(1576.6,1709.8)",2.00,"PMU -> GNB_6 (0.0083s, 223.3m)",0.0083,OK
0.0000,20,"(1244.0,1682.2)",2.00,"PMU -> GNB_6 (0.0121s, 314.2m)",0.0121,OK
0.0000,21,"(1909.9,1749.8)",2.00,"PMU -> GNB_6 (0.0138s, 480.1m)",0.0138,OK
0.0000,16,"(1910.1,1411.1)",2.00,"PMU -> GNB_6 (0.0226s, 419.6m)",0.0226,OK
0.0000,17,"(577.4,1078.9)",2.00,"PMU -> GNB_3 (0.0098s, 110.6m)",0.0098,OK
0.0000,23,"(910.7,814.6)",2.00,"PMU -> GNB_3 (0.0129s, 450.6m)",0.0129,OK
0.0000,15,"(243.3,842.2)",2.00,"PMU -> GNB_3 (0.0214s, 301.3m)",0.0214,OK
1.0000,25,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0048s, 110.1m)",0.0048,OK
1.0000,14,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0066s, 147.2m)",0.0066,OK
1.0000,28,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0101s, 285.1m)",0.0101,OK
1.0000,0,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0162s, 409.6m)",0.0162,OK
1.0000,27,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0195s, 333.8m)",0.0195,OK
1.0000,19,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0196s, 543.5m)",0.0196,OK
1.0000,29,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0039s, 77.4m)",0.0039,OK
1.0000,4,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0119s, 265.2m)",0.0119,OK
1.0000,5,"(910.2,1635.2)",2.00,"PMU -> GNB_5 (0.0134s, 431.9m)",0.0134,OK
1.0000,1,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0137s, 274.6m)",0.0137,OK
1.0000,2,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0139s, 526.3m)",0.0139,OK
1.0000,24,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0201s, 414.1m)",0.0201,OK
1.0000,10,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0084s, 123.6m)",0.0084,OK
1.0000,7,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0137s, 275.1m)",0.0137,OK
1.0000,3,"(1243.7,1228.4)",2.00,"PMU -> GNB_4 (0.0146s, 343.3m)",0.0146,OK
1.0000,11,"(1909.4,970.9)",2.00,"PMU -> GNB_4 (0.0159s, 410.4m)",0.0159,OK
1.0000,13,"(576.6,577.8)",2.00,"PMU -> GNB_1 (0.0002s, 109.2m)",0.0002,OK
1.0000,8,"(243.4,638.8)",2.00,"PMU -> GNB_1 (0.0106s, 291.7m)",0.0106,OK
1.0000,6,"(243.6,231.9)",2.00,"PMU -> GNB_1 (0.0157s, 371.0m)",0.0157,OK
1.0000,9,"(910.1,706.6)",2.00,"PMU -> GNB_1 (0.0158s, 459.1m)",0.0158,OK
1.0000,22,"(910.7,346.8)",2.00,"PMU -> GNB_1 (0.0187s, 438.4m)",0.0187,OK
1.0000,18,"(577.5,75.5)",2.00,"PMU -> GNB_1 (0.0283s, 431.5m)",0.0283,OK
1.0000,20,"(1244.0,1682.2)",2.00,"PMU -> GNB_6 (0.0041s, 314.2m)",0.0041,OK
1.0000,26,"(1577.3,1418.0)",2.00,"PMU -> GNB_6 (0.0056s, 112.7m)",0.0056,OK
1.0000,12,"(1576.6,1709.8)",2.00,"PMU -> GNB_6 (0.0103s, 223.3m)",0.0103,OK
1.0000,16,"(1910.1,1411.1)",2.00,"PMU -> GNB_6 (0.0130s, 419.6m)",0.0130,OK
1.0000,21,"(1909.9,1749.8)",2.00,"PMU -> GNB_6 (0.0132s, 480.1m)",0.0132,OK
1.0000,17,"(577.4,1078.9)",2.00,"PMU -> GNB_3 (0.0037s, 110.6m)",0.0037,OK
1.0000,15,"(243.3,842.2)",2.00,"PMU -> GNB_3 (0.0064s, 301.3m)",0.0064,OK
1.0000,23,"(910.7,814.6)",2.00,"PMU -> GNB_3 (0.0110s, 450.6m)",0.0110,OK
2.0000,14,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0000s, 147.2m)",0.0000,OK
2.0000,25,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0007s, 110.1m)",0.0007,OK
2.0000,27,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0065s, 333.8m)",0.0065,OK
2.0000,28,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0099s, 285.1m)",0.0099,OK
2.0000,19,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0121s, 543.5m)",0.0121,OK
2.0000,0,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0146s, 409.6m)",0.0146,OK
2.0000,29,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0000s, 77.4m)",0.0000,OK
2.0000,1,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0078s, 274.6m)",0.0078,OK
2.0000,24,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0106s, 414.1m)",0.0106,OK
2.0000,4,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0145s, 265.2m)",0.0145,OK
