Time,TaskID,GNBID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
0.0280,10015,2,Window_0.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0553,S,0.0155,1
0.0280,10003,5,Window_0.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0552,S,0.0155,1
0.0280,10008,4,Window_0.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0505,S,0.0155,1
0.0280,10014,1,Window_0.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0504,S,0.0155,1
0.0280,10017,6,Window_0.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0551,S,0.0155,1
0.0280,10018,3,Window_0.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0460,S,0.0101,1
1.0280,11091,2,Window_1.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0553,S,0.0155,1
1.0280,11093,5,Window_1.000,3/6,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0484,S,0.0155,1
1.0280,11098,4,Window_1.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0486,S,0.0155,1
1.0280,11097,1,Window_1.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0561,S,0.0155,1
1.0280,11111,6,Window_1.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0517,S,0.0155,1
1.0280,11108,3,Window_1.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0499,S,0.0126,1
2.0280,12195,2,Window_2.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0507,S,0.0134,1
