Time,PmuID,PmuCoordinates,DataSize,Path,HopSum,Status
0.0000,15,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0073s, 147.2m) -> TELCO (0.0094s, 707.1m) -> GNB_2 (0.0106s, 707.1m)",0.0273,S
0.0000,28,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0036s, 333.8m) -> TELCO (0.0126s, 707.1m) -> GNB_2 (0.0133s, 707.1m)",0.0295,S
0.0000,26,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0066s, 110.1m) -> TELCO (0.0126s, 707.1m) -> GNB_2 (0.0133s, 707.1m)",0.0325,S
0.0000,29,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0038s, 285.1m) -> TELCO (0.0145s, 707.1m) -> GNB_2 (0.0148s, 707.1m)",0.0330,S
0.0000,1,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0089s, 409.6m) -> TELCO (0.0147s, 707.1m) -> GNB_2 (0.0193s, 707.1m)",0.0429,L
0.0000,20,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0194s, 543.5m) -> TELCO (0.0137s, 707.1m) -> GNB_2 (0.0126s, 707.1m)",0.0457,L
0.0000,3,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0000s, 526.3m) -> TELCO (0.0162s, 707.1m) -> GNB_5 (0.0110s, 707.1m)",0.0272,S
0.0000,6,"(910.2,1635.2)",2.00,"PMU -> GNB_5 (0.0067s, 431.9m) -> TELCO (0.0121s, 707.1m) -> GNB_5 (0.0153s, 707.1m)",0.0341,S
0.0000,25,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0139s, 414.1m) -> TELCO (0.0106s, 707.1m) -> GNB_5 (0.0129s, 707.1m)",0.0374,S
0.0000,5,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0124s, 265.2m) -> TELCO (0.0164s, 707.1m) -> GNB_5 (0.0137s, 707.1m)",0.0424,S
0.0000,0,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0105s, 77.4m) -> TELCO (0.0161s, 707.1m) -> GNB_5 (0.0167s, 707.1m)",0.0432,L
0.0000,2,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0231s, 274.6m) -> TELCO (0.0124s, 707.1m) -> GNB_5 (0.0136s, 707.1m)",0.0492,L
0.0000,8,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0000s, 275.1m) -> TELCO (0.0124s, 500.0m) -> GNB_4 (0.0101s, 500.0m)",0.0225,S
0.0000,11,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0025s, 123.6m) -> TELCO (0.0131s, 500.0m) -> GNB_4 (0.0092s, 500.0m)",0.0249,S
0.0000,12,"(1909.4,970.9)",2.00,"PMU -> GNB_4 (0.0000s, 410.4m) -> TELCO (0.0131s, 500.0m) -> GNB_4 (0.0125s, 500.0m)",0.0255,S
0.0000,4,"(1243.7,1228.4)",2.00,"PMU -> GNB_4 (0.0152s, 343.3m) -> TELCO (0.0151s, 500.0m) -> GNB_4 (0.0173s, 500.0m)",0.0476,L
0.0000,14,"(576.6,577.8)",2.00,"PMU -> GNB_1 (0.0000s, 109.2m) -> TELCO (0.0114s, 707.1m) -> GNB_1 (0.0110s, 707.1m)",0.0224,S
0.0000,23,"(910.7,346.8)",2.00,"PMU -> GNB_1 (0.0000s, 438.4m) -> TELCO (0.0130s, 707.1m) -> GNB_1 (0.0120s, 707.1m)",0.0250,S
0.0000,7,"(243.6,231.9)",2.00,"PMU -> GNB_1 (0.0000s, 371.0m) -> TELCO (0.0152s, 707.1m) -> GNB_1 (0.0123s, 707.1m)",0.0274,S
0.0000,9,"(243.4,638.8)",2.00,"PMU -> GNB_1 (0.0045s, 291.7m) -> TELCO (0.0151s, 707.1m) -> GNB_1 (0.0143s, 707.1m)",0.0338,S
0.0000,10,"(910.1,706.6)",2.00,"PMU -> GNB_1 (0.0090s, 459.1m) -> TELCO (0.0174s, 707.1m) -> GNB_1 (0.0118s, 707.1m)",0.0382,L
0.0000,19,"(577.5,75.5)",2.00,"PMU -> GNB_1 (0.0167s, 431.5m) -> TELCO (0.0154s, 707.1m) -> GNB_1 (0.0109s, 707.1m)",0.0430,L
0.0000,17,"(1910.1,1411.1)",2.00,"PMU -> GNB_6 (0.0008s, 419.6m) -> TELCO (0.0129s, 707.1m) -> GNB_6 (0.0135s, 707.1m)",0.0271,S
0.0000,13,"(1576.6,1709.8)",2.00,"PMU -> GNB_6 (0.0075s, 223.3m) -> TELCO (0.0131s, 707.1m) -> GNB_6 (0.0088s, 707.1m)",0.0294,S
0.0000,22,"(1909.9,1749.8)",2.00,"PMU -> GNB_6 (0.0069s, 480.1m) -> TELCO (0.0156s, 707.1m) -> GNB_6 (0.0115s, 707.1m)",0.0341,S
0.0000,21,"(1244.0,1682.2)",2.00,"PMU -> GNB_6 (0.0104s, 314.2m) -> TELCO (0.0148s, 707.1m) -> GNB_6 (0.0153s, 707.1m)",0.0405,S
0.0000,27,"(1577.3,1418.0)",2.00,"PMU -> GNB_6 (0.0201s, 112.7m) -> TELCO (0.0141s, 707.1m) -> GNB_6 (0.0128s, 707.1m)",0.0470,L
0.0000,18,"(577.4,1078.9)",2.00,"PMU -> GNB_3 (0.0000s, 110.6m) -> TELCO (0.0118s, 500.0m) -> GNB_3 (0.0116s, 500.0m)",0.0234,S
0.0000,24,"(910.7,814.6)",2.00,"PMU -> GNB_3 (0.0057s, 450.6m) -> TELCO (0.0108s, 500.0m) -> GNB_3 (0.0143s, 500.0m)",0.0308,S
0.0000,16,"(243.3,842.2)",2.00,"PMU -> GNB_3 (0.0061s, 301.3m) -> TELCO (0.0139s, 500.0m) -> GNB_3 (0.0135s, 500.0m)",0.0335,S
1.0000,1,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0001s, 409.6m) -> TELCO (0.0133s, 707.1m) -> GNB_2 (0.0138s, 707.1m)",0.0273,S
1.0000,15,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0012s, 147.2m) -> TELCO (0.0157s, 707.1m) -> GNB_2 (0.0146s, 707.1m)",0.0314,S
1.0000,26,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0000s, 110.1m) -> TELCO (0.0147s, 707.1m) -> GNB_2 (0.0168s, 707.1m)",0.0316,S
