Time,TaskID,GNBID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
6.0280,16565,5,Window_6.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0515,S,0.0155,1
6.0280,16551,4,Window_6.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0494,S,0.0155,1
6.0280,16547,1,Window_6.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0553,S,0.0155,1
6.0280,16567,6,Window_6.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0559,S,0.0155,1
6.0280,16558,3,Window_6.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0479,S,0.0109,1
7.0280,17645,2,Window_7.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0523,S,0.0091,1
7.0280,17635,5,Window_7.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0476,S,0.0117,1
7.0280,17638,4,Window_7.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0448,S,0.0060,1
7.0280,17637,1,Window_7.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0493,S,0.0155,1
7.0280,17652,6,Window_7.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0510,S,0.0100,1
7.0280,17648,3,Window_7.000,2/3,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0536,S,0.0155,1
8.0280,18735,2,Window_8.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0578,S,0.0155,1
8.0280,18725,5,Window_8.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0529,S,0.0155,1
8.0280,18731,4,Window_8.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0540,S,0.0129,1
8.0280,18730,1,Window_8.000,2/6,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0559,S,0.0155,1
8.0280,18742,6,Window_8.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0496,S,0.0092,1
8.0280,18736,3,Window_8.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0511,S,0.0137,1
9.0280,19811,2,Window_9.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0541,S,0.0155,1
9.0280,19815,5,Window_9.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0536,S,0.0155,1
9.0280,19818,4,Window_9.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0481,S,0.0109,1
9.0280,19829,1,Window_9.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0536,S,0.0155,1
9.0280,19823,6,Window_9.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0504,S,0.0085,1
9.0280,19828,3,Window_9.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0448,S,0.0084,1
10.0280,20920,2,Window_10.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0557,S,0.0155,1
10.0280,20902,5,Window_10.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0517,S,0.0155,1
10.0280,20912,4,Window_10.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0503,S,0.0155,1
10.0280,20909,1,Window_10.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0547,S,0.0103,1
10.0280,20927,6,Window_10.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0537,S,0.0155,1
10.0280,20918,3,Window_10.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0440,S,0.0067,1
11.0280,22016,2,Window_11.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0507,S,0.0155,1
11.0280,21993,5,Window_11.000,3/6,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0555,S,0.0155,1
11.0280,22001,4,Window_11.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0484,S,0.0108,1
11.0280,22009,1,Window_11.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0473,S,0.0121,1
11.0280,22012,6,Window_11.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0598,S,0.0155,1
11.0280,22006,3,Window_11.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0464,S,0.0145,1
12.0280,23100,2,Window_12.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0551,S,0.0113,1
12.0280,23110,5,Window_12.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0509,S,0.0155,1
12.0280,23088,4,Window_12.000,2/4,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0470,S,0.0155,1
12.0280,23090,1,Window_12.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0563,S,0.0098,1
12.0280,23093,6,Window_12.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0579,S,0.0155,1
12.0280,23096,3,Window_12.000,2/3,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0598,S,0.0155,1
13.0280,24185,2,Window_13.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0544,S,0.0139,1
13.0280,24175,5,Window_13.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0496,S,0.0155,1
