Time,PmuID,PmuCoordinates,DataSize,Path,HopSum,Status
0.0000,15,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0000s, 147.2m) -> TELCO (0.0155s, 707.1m) -> GNB_2 (0.0155s, 707.1m)",0.0310,S
0.0000,28,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0000s, 333.8m) -> TELCO (0.0160s, 707.1m) -> GNB_2 (0.0162s, 707.1m)",0.0322,S
0.0000,26,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0089s, 110.1m) -> TELCO (0.0125s, 707.1m) -> GNB_2 (0.0124s, 707.1m)",0.0338,S
0.0000,1,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0090s, 409.6m) -> TELCO (0.0130s, 707.1m) -> GNB_2 (0.0128s, 707.1m)",0.0348,S
0.0000,20,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0097s, 543.5m) -> TELCO (0.0118s, 707.1m) -> GNB_2 (0.0148s, 707.1m)",0.0363,S
0.0000,29,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0074s, 285.1m) -> TELCO (0.0144s, 707.1m) -> GNB_2 (0.0151s, 707.1m)",0.0369,S
0.0000,0,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0011s, 77.4m) -> TELCO (0.0122s, 707.1m) -> GNB_5 (0.0143s, 707.1m)",0.0277,S
0.0000,5,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0022s, 265.2m) -> TELCO (0.0182s, 707.1m) -> GNB_5 (0.0143s, 707.1m)",0.0347,S
0.0000,2,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0094s, 274.6m) -> TELCO (0.0129s, 707.1m) -> GNB_5 (0.0131s, 707.1m)",0.0354,S
0.0000,3,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0065s, 526.3m) -> TELCO (0.0187s, 707.1m) -> GNB_5 (0.0123s, 707.1m)",0.0375,S
0.0000,25,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0051s, 414.1m) -> TELCO (0.0157s, 707.1m) -> GNB_5 (0.0181s, 707.1m)",0.0389,S
0.0000,6,"(910.2,1635.2)",2.00,"PMU -> GNB_5 (0.0036s, 431.9m) -> TELCO (0.0203s, 707.1m) -> GNB_5 (0.0155s, 707.1m)",0.0394,S
0.0000,11,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0000s, 123.6m) -> TELCO (0.0153s, 500.0m) -> GNB_4 (0.0110s, 500.0m)",0.0263,S
0.0000,8,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0031s, 275.1m) -> TELCO (0.0148s, 500.0m) -> GNB_4 (0.0126s, 500.0m)",0.0305,S
