Time,TaskID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
0.1010,10012,Window_0.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0429,1
1.1010,11108,Window_1.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0402,1
2.1010,12187,Window_2.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0408,1
3.1010,13288,Window_3.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0389,1
4.1010,14364,Window_4.000,28/30,TIMEOUT,56.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
5.1010,15455,Window_5.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
6.1010,16552,Window_6.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0347,1
7.1010,17645,Window_7.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0379,1
8.1010,18731,Window_8.000,27/30,TIMEOUT,54.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
9.1010,19816,Window_9.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
10.1010,20908,Window_10.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0407,1
11.1010,22001,Window_11.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
12.1010,23091,Window_12.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
13.1010,24174,Window_13.000,27/30,TIMEOUT,54.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
14.1010,25278,Window_14.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0347,1
15.1010,26368,Window_15.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
16.1010,27454,Window_16.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
17.1010,28556,Window_17.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0446,1
18.1010,29638,Window_18.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
19.1010,30719,Window_19.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0336,1
20.1010,31811,Window_20.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0351,1
21.1010,32906,Window_21.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0406,1
22.1010,34010,Window_22.000,27/30,TIMEOUT,54.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
23.1010,35088,Window_23.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0389,1
24.1010,36168,Window_24.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
25.1010,37266,Window_25.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0435,1
26.1010,38354,Window_26.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0420,1
27.1010,39444,Window_27.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
28.1010,40549,Window_28.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0370,1
29.1010,41618,Window_29.000,26/30,TIMEOUT,52.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
30.1010,42711,Window_30.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0400,1
31.1010,43796,Window_31.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
32.1010,44898,Window_32.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
33.1010,45998,Window_33.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0346,1
34.1010,47067,Window_34.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0355,1
35.1010,48168,Window_35.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0449,1
36.1010,49253,Window_36.000,28/30,TIMEOUT,56.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
37.1010,50338,Window_37.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
38.1010,51422,Window_38.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
39.1010,52521,Window_39.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
40.1010,53612,Window_40.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0433,1
41.1010,54720,Window_41.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0359,1
42.1010,55798,Window_42.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
43.1010,56900,Window_43.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0390,1
44.1010,57974,Window_44.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0440,1
45.1010,59058,Window_45.000,28/30,TIMEOUT,56.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
46.1010,60151,Window_46.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0414,1
47.1010,61260,Window_47.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
