Time,PmuID,PmuCoordinates,DataSize,Path,HopSum,Status
1.0000,5,"(1700.2,440.2)",2.00,"PMU -> GNB_2 (0.0136s, 209.0m)",0.0136,OK
1.0000,4,"(1033.7,372.4)",2.00,"PMU -> GNB_2 (0.0143s, 483.4m)",0.0143,OK
1.0000,19,"(1367.7,548.2)",2.00,"PMU -> GNB_2 (0.0148s, 140.8m)",0.0148,OK
1.0000,6,"(700.4,636.8)",2.00,"PMU -> GNB_1 (0.0024s, 242.7m)",0.0024,OK
1.0000,9,"(700.2,311.5)",2.00,"PMU -> GNB_1 (0.0088s, 275.0m)",0.0088,OK
1.0000,23,"(367.6,19.5)",2.00,"PMU -> GNB_1 (0.0089s, 498.4m)",0.0089,OK
1.0000,13,"(33.4,182.8)",2.00,"PMU -> GNB_1 (0.0097s, 564.2m)",0.0097,OK
1.0000,15,"(366.8,447.1)",2.00,"PMU -> GNB_1 (0.0107s, 143.3m)",0.0107,OK
1.0000,21,"(34.2,555.1)",2.00,"PMU -> GNB_1 (0.0137s, 469.1m)",0.0137,OK
1.0000,24,"(1034.1,1158.6)",2.00,"PMU -> GNB_4 (0.0048s, 492.2m)",0.0048,OK
1.0000,26,"(1700.7,1023.0)",2.00,"PMU -> GNB_4 (0.0078s, 202.0m)",0.0078,OK
1.0000,29,"(1367.3,1097.7)",2.00,"PMU -> GNB_4 (0.0095s, 164.8m)",0.0095,OK
1.0000,22,"(1034.2,751.7)",2.00,"PMU -> GNB_4 (0.0163s, 527.8m)",0.0163,OK
2.0000,25,"(700.7,1226.4)",2.00,"PMU -> GNB_3 (0.0000s, 302.6m)",0.0000,OK
2.0000,8,"(33.6,1043.7)",2.00,"PMU -> GNB_3 (0.0040s, 468.4m)",0.0040,OK
2.0000,1,"(700.5,968.9)",2.00,"PMU -> GNB_3 (0.0123s, 202.9m)",0.0123,OK
2.0000,0,"(367.2,901.1)",2.00,"PMU -> GNB_3 (0.0128s, 165.6m)",0.0128,OK
2.0000,18,"(1034.4,1680.2)",2.00,"PMU -> GNB_6 (0.0000s, 499.3m)",0.0000,OK
2.0000,20,"(1367.5,1687.1)",2.00,"PMU -> GNB_6 (0.0060s, 229.3m)",0.0060,OK
2.0000,2,"(1700.5,1964.6)",2.00,"PMU -> GNB_6 (0.0096s, 506.0m)",0.0096,OK
2.0000,27,"(1034.1,1490.8)",2.00,"PMU -> GNB_6 (0.0121s, 466.0m)",0.0121,OK
2.0000,7,"(1700.3,1504.6)",2.00,"PMU -> GNB_6 (0.0129s, 200.4m)",0.0129,OK
2.0000,14,"(1366.9,1579.3)",2.00,"PMU -> GNB_6 (0.0165s, 155.0m)",0.0165,DEADLINE_MISSED
2.0000,10,"(367.0,1707.8)",2.00,"PMU -> GNB_5 (0.0006s, 246.7m)",0.0006,OK
2.0000,3,"(700.5,1633.2)",2.00,"PMU -> GNB_5 (0.0062s, 240.8m)",0.0062,OK
2.0000,28,"(33.9,1429.9)",2.00,"PMU -> GNB_5 (0.0117s, 471.3m)",0.0117,OK
2.0000,11,"(33.6,1775.4)",2.00,"PMU -> GNB_5 (0.0125s, 541.6m)",0.0125,OK
2.0000,16,"(367.6,1416.0)",2.00,"PMU -> GNB_5 (0.0133s, 156.7m)",0.0133,OK
2.0000,19,"(1367.7,548.2)",2.00,"PMU -> GNB_2 (0.0027s, 140.8m)",0.0027,OK
2.0000,17,"(1700.8,283.9)",2.00,"PMU -> GNB_2 (0.0051s, 295.0m)",0.0051,OK
2.0000,5,"(1700.2,440.2)",2.00,"PMU -> GNB_2 (0.0066s, 209.0m)",0.0066,OK
2.0000,4,"(1033.7,372.4)",2.00,"PMU -> GNB_2 (0.0068s, 483.4m)",0.0068,OK
2.0000,12,"(1366.8,114.9)",2.00,"PMU -> GNB_2 (0.0094s, 407.4m)",0.0094,OK
2.0000,15,"(366.8,447.1)",2.00,"PMU -> GNB_1 (0.0049s, 143.3m)",0.0049,OK
2.0000,6,"(700.4,636.8)",2.00,"PMU -> GNB_1 (0.0077s, 242.7m)",0.0077,OK
2.0000,21,"(34.2,555.1)",2.00,"PMU -> GNB_1 (0.0091s, 469.1m)",0.0091,OK
2.0000,13,"(33.4,182.8)",2.00,"PMU -> GNB_1 (0.0102s, 564.2m)",0.0102,OK
2.0000,9,"(700.2,311.5)",2.00,"PMU -> GNB_1 (0.0112s, 275.0m)",0.0112,OK
2.0000,23,"(367.6,19.5)",2.00,"PMU -> GNB_1 (0.0164s, 498.4m)",0.0164,OK
